"","Gene","Gene_id","Disease","Disease_id","Score_gda","Association_Type"
"5670","GABRB3",2562,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5672","RFX4",5992,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5673","TNF",7124,"Bipolar Disorder","C0005586",0.4,"Biomarker"
"5674","TGM2",7052,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5680","RAPGEF5",9771,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5682","FGF20",26281,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5683","CHRNB3",1142,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5685","BID",637,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5686","IMPACT",55364,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5689","NR2E1",7101,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5690","ATF5",22809,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5691","AVPR1B",553,"Bipolar Disorder","C0005586",0.33,"Biomarker"
"5692","HSPA4",3308,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5693","PFKL",5211,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5694","ATP1A1",476,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5699","PPP2R2C",5522,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5701","PRKCI",5584,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5705","CASP8",841,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5707","CTLA4",1493,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5711","DDC",1644,"Bipolar Disorder","C0005586",0.34,"Biomarker"
"5714","PVALB",5816,"Bipolar Disorder","C0005586",0.35,"Biomarker"
"5716","CNR2",1269,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5718","NEDD4",4734,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5719","GABRB2",2561,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5721","CACNB2",783,"Bipolar Disorder","C0005586",0.42,"Biomarker"
"5724","TPH1",7166,"Bipolar Disorder","C0005586",0.36,"Biomarker"
"5725","ADCY3",109,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5726","MFGE8",4240,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5730","PPARD",5467,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5735","CACNA1B",774,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5742","GSTZ1",2954,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5747","MIR137",406928,"Bipolar Disorder","C0005586",0.35,"Biomarker"
"5749","SOD2",6648,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5755","OTX2",5015,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5761","VGF",7425,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5762","GRIK1",2897,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5764","ERDA1",9030,"Bipolar Disorder","C0005586",0.37,"Biomarker"
"5765","STAB1",23166,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5767","FOXP3",50943,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5768","SEPTIN11",55752,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5772","DAZAP1",26528,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5773","GABRR1",2569,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5774","YWHAH",7533,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5775","DAO",1610,"Bipolar Disorder","C0005586",0.36,"Biomarker"
"5777","ITIH4",3700,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5778","NOD2",64127,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5780","TSPAN8",7103,"Bipolar Disorder","C0005586",0.42,"Biomarker"
"5781","UCP2",7351,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5782","TOM1",10043,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5786","BDKRB2",624,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5793","ATP1A2",477,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5795","PLCB1",23236,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5797","RGS4",5999,"Bipolar Disorder","C0005586",0.34,"Biomarker"
"5804","CALM2",805,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5805","CRY1",1407,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5813","HTR1A",3350,"Bipolar Disorder","C0005586",0.35,"Biomarker"
"5817","CNTN6",27255,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5821","SST",6750,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5824","PTPA",5524,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5825","MLC1",23209,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5830","DLX1",1745,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5832","MTR",4548,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5834","SCN2A",6326,"Bipolar Disorder","C0005586",0.4,"Biomarker"
"5837","PGP",283871,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5840","NRGN",4900,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5841","MAGI2",9863,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5842","TSNAX",7257,"Bipolar Disorder","C0005586",0.33,"Biomarker"
"5843","TRPM2",7226,"Bipolar Disorder","C0005586",0.37,"Biomarker"
"5852","RASGRF1",5923,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5854","GNAL",2774,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5855","ADD3",120,"Bipolar Disorder","C0005586",0.4,"Biomarker"
"5856","WHRN",25861,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5868","MCHR2",84539,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5872","EHHADH",1962,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5875","APOD",347,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5876","MRPS33",51650,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5877","SYN3",8224,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5878","MDGA1",266727,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5880","C14orf28",122525,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5883","ZNF592",9640,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5887","GNB1L",54584,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5892","PCLO",27445,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5893","PIK3C3",5289,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5904","SMS",6611,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5905","PDYN",5173,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5907","PACS1",55690,"Bipolar Disorder","C0005586",0.4,"Biomarker"
"5909","RPS6KA2",6196,"Bipolar Disorder","C0005586",0.4,"Biomarker"
"5913","ITGA9",3680,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5914","CSRP1",1465,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5920","PPP1R1B",84152,"Bipolar Disorder","C0005586",0.35,"Biomarker"
"5925","ROR1",4919,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5927","DCTN5",84516,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5932","NOS3",4846,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5934","DIO2",1734,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5939","DBN1",1627,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5942","GABRR2",2570,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5948","ALOX12",239,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5953","CCKAR",886,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5954","DSCAM",1826,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5957","KCNQ3",3786,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5959","GLO1",2739,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5966","GSK3A",2931,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5967","BHLHE41",79365,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5969","NNMT",4837,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5980","MIR212",406994,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"5982","REN",5972,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5988","IL2RB",3560,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5990","SRSF3",6428,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"5993","STARD9",57519,"Bipolar Disorder","C0005586",0.4,"Biomarker"
"5995","PDE10A",10846,"Bipolar Disorder","C0005586",0.42,"Biomarker"
"5996","PGAM1",5223,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"5997","IFNG",3458,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6000","FABP7",2173,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"6005","DCLK1",9201,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6008","BCL9",607,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6015","GRID1",2894,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"6017","GNB3",2784,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"6018","HMGXB4",10042,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6019","NEK4",6787,"Bipolar Disorder","C0005586",0.4,"Biomarker"
"6023","KCNQ2",3785,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"6028","HSPA5",3309,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"6033","MBL2",4153,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6040","DKK4",27121,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"6041","VDR",7421,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6046","CALR",811,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"6047","SEC24C",9632,"Bipolar Disorder","C0005586",0.41,"Biomarker"
"6048","PDE4A",5141,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6049","PPP3CC",5533,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"6052","NFIX",4784,"Bipolar Disorder","C0005586",0.42,"Biomarker"
"6054","MLLT3",4300,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"6057","GDNF",2668,"Bipolar Disorder","C0005586",0.33,"Biomarker"
"6061","SFRP1",6422,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"6069","SEZ6L",23544,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6074","RNF41",10193,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6076","SLC25A4",291,"Bipolar Disorder","C0005586",0.43,"Biomarker"
"6082","ND1",4535,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6083","SRRT",51593,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6085","CBS",875,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6088","PHETA1",144717,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"6090","NDST3",9348,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"6098","ARHGEF10",9639,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"6100","IFNA1",3439,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6103","SLC39A3",29985,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6105","XBP1",7494,"Bipolar Disorder","C0005586",0.4,"Biomarker"
"6106","POU3F2",5454,"Bipolar Disorder","C0005586",0.52,"Biomarker"
"6113","TSHB",7252,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"6117","MAP2",4133,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"6118","IL1B",3553,"Bipolar Disorder","C0005586",0.36,"Biomarker"
"6120","IFT27",11020,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6121","PC",5091,"Bipolar Disorder","C0005586",0.4,"Biomarker"
"6122","PFKFB3",5209,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"6124","CPLX1",10815,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"6131","SSBP2",23635,"Bipolar Disorder","C0005586",0.4,"Biomarker"
"6136","FBXL3",26224,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"6137","DOCK9",23348,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6138","MAPK1",5594,"Bipolar Disorder","C0005586",0.33,"Biomarker"
"6144","ASMT",438,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"6145","AKT2",208,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"6148","TAC1",6863,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6158","BCHE",590,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6160","TRANK1",9881,"Bipolar Disorder","C0005586",0.42,"Biomarker"
"6161","BRCA2",675,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6162","GSTT1",2952,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"6169","CDH7",1005,"Bipolar Disorder","C0005586",0.3,"Biomarker"
"6170","ITGAM",3684,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6178","ACTB",60,"Bipolar Disorder","C0005586",0.31,"Biomarker"
"6184","GRM5",2915,"Bipolar Disorder","C0005586",0.32,"Biomarker"
"6199","RIMS1",22999,"Bipolar Disorder","C0005586",0.4,"Biomarker"
"6203","SP4",6671,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6204","COMT",1312,"Depression, Bipolar","C0005587",0.51,"Biomarker"
"6205","SLC6A4",6532,"Depression, Bipolar","C0005587",0.52,"Biomarker"
"6206","CPLX1",10815,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6207","PC",5091,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6208","POMC",5443,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6209","NTRK1",4914,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6210","STARD9",57519,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6211","HTR1A",3350,"Depression, Bipolar","C0005587",0.32,"Biomarker"
"6212","PLEKHO1",51177,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6213","DISC1",27185,"Depression, Bipolar","C0005587",0.31,"Biomarker"
"6214","TRPC3",7222,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6215","CACNA1D",776,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6216","DRD1",1812,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6217","MRPS33",51650,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6218","BDNF",627,"Depression, Bipolar","C0005587",0.34,"Biomarker"
"6219","SHANK2",22941,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6220","SNAP25",6616,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6221","S100B",6285,"Depression, Bipolar","C0005587",0.5,"Biomarker"
"6222","SRPK2",6733,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6223","TRANK1",9881,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6224","TSHB",7252,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6225","GRIN2A",2903,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6226","TRPM2",7226,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6228","FADS2",9415,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6229","AKR1C4",1109,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6230","PACS1",55690,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6231","CPLX2",10814,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6232","RELN",5649,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6233","ZNF592",9640,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6234","POU3F2",5454,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6236","DIXDC1",85458,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6237","INS",3630,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6238","CACNA1C",775,"Depression, Bipolar","C0005587",0.31,"Biomarker"
"6239","ANK3",288,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6241","GRIK4",2900,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6242","LMAN2L",81562,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6244","HTR2A",3356,"Depression, Bipolar","C0005587",0.51,"Biomarker"
"6245","TENM4",26011,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6246","FSTL5",56884,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6247","THSD7A",221981,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6248","ADCY2",108,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6249","GAD2",2572,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6252","TACR1",6869,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6254","TPH2",121278,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6255","TAC1",6863,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6256","BHLHE40",8553,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6259","MTHFR",4524,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6260","SSBP2",23635,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6263","KMO",8564,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6264","ZCCHC2",54877,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6265","DRD5",1816,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6266","GRIK2",2898,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6267","GRK3",157,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6268","NR3C1",2908,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6269","PDE4B",5142,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6270","NTRK2",4915,"Depression, Bipolar","C0005587",0.31,"Biomarker"
"6271","GSK3B",2932,"Depression, Bipolar","C0005587",0.31,"Biomarker"
"6273","STK4",6789,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6275","NCAM1",4684,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6276","NDUFV2",4729,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6277","AANAT",15,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6278","RIMS1",22999,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6279","HDAC5",10014,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6280","GSK3A",2931,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6281","MAOA",4128,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6282","NTNG1",22854,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6283","SLC5A3",6526,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6284","NTNG2",84628,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6285","SCN2A",6326,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6286","NCAN",1463,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6287","SERPINA1",5265,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6288","ADD3",120,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6289","ITIH1",3697,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6290","GAD1",2571,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6292","RPS6KA2",6196,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6295","CD47",961,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6296","NPAS4",266743,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6297","PVALB",5816,"Depression, Bipolar","C0005587",0.3,"Biomarker"
"6298","TRH",7200,"Body Rocking","C0005899",0.3,"Biomarker"
"6299","MEF2C",4208,"Body Rocking","C0005899",0.3,"Biomarker"
"6300","CRH",1392,"Body Rocking","C0005899",0.3,"Biomarker"
"6301","GCC1",79571,"Cannabis Abuse","C0006868",0.3,"Biomarker"
"6302","FDFT1",2222,"Cannabis Abuse","C0006868",0.3,"Biomarker"
"6303","SCARB1",949,"Cannabis Abuse","C0006868",0.3,"Biomarker"
"6304","CNR1",1268,"Cannabis Abuse","C0006868",0.31,"Biomarker"
"6305","APOL2",23780,"Cannabis Abuse","C0006868",0.3,"Biomarker"
"6306","ABCB1",5243,"Cannabis Abuse","C0006868",0.3,"Biomarker"
"6307","AKT1",207,"Cannabis Abuse","C0006868",0.3,"Biomarker"
"6308","CALM2",805,"Cannabis Abuse","C0006868",0.3,"Biomarker"
"6309","CALM1",801,"Cannabis Abuse","C0006868",0.3,"Biomarker"
"6310","CAMK2B",816,"Cannabis Abuse","C0006868",0.3,"Biomarker"
"6311","GABRA2",2555,"Cannabis Dependence","C0006870",0.32,"Biomarker"
"6312","CAMK2B",816,"Cannabis Dependence","C0006870",0.3,"Biomarker"
"6313","HCRT",3060,"Cannabis Dependence","C0006870",0.31,"Biomarker"
"6314","CALM1",801,"Cannabis Dependence","C0006870",0.3,"Biomarker"
"6315","FDFT1",2222,"Cannabis Dependence","C0006870",0.3,"Biomarker"
"6316","CNR1",1268,"Cannabis Dependence","C0006870",0.37,"Biomarker"
"6317","NRG1",3084,"Cannabis Dependence","C0006870",0.31,"Biomarker"
"6318","ADRA1A",148,"Cannabis Dependence","C0006870",0.31,"Biomarker"
"6319","ABCB1",5243,"Cannabis Dependence","C0006870",0.32,"Biomarker"
"6320","CALM2",805,"Cannabis Dependence","C0006870",0.3,"Biomarker"
"6321","DRD2",1813,"Cannabis Dependence","C0006870",0.32,"Biomarker"
"6323","AKT1",207,"Cannabis Dependence","C0006870",0.3,"Biomarker"
"6324","APOL2",23780,"Cannabis Dependence","C0006870",0.3,"Biomarker"
"6325","SCARB1",949,"Cannabis Dependence","C0006870",0.3,"Biomarker"
"6326","PENK",5179,"Cannabis Dependence","C0006870",0.32,"Biomarker"
"6327","GCC1",79571,"Cannabis Dependence","C0006870",0.3,"Biomarker"
"6328","FAAH",2166,"Cannabis Dependence","C0006870",0.35,"Biomarker"
"6329","NTRK2",4915,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6330","MECP2",4204,"Developmental Disabilities","C0008073",0.38,"Biomarker"
"6331","PTEN",5728,"Developmental Disabilities","C0008073",0.41,"Biomarker"
"6332","CNTN4",152330,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6333","CBL",867,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6334","KIF1A",547,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6335","KCNQ2",3785,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6336","SLC6A8",6535,"Developmental Disabilities","C0008073",0.31,"Biomarker"
"6337","NANS",54187,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6338","WDFY4",57705,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6339","PNKP",11284,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6340","MAPK3",5595,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6341","DRD2",1813,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6342","CHD4",1108,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6343","SLC33A1",9197,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6344","AS3MT",57412,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6345","SETD1A",9739,"Developmental Disabilities","C0008073",0.32,"Biomarker"
"6346","KCNT1",57582,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6347","SLC2A1",6513,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6348","LRP2",4036,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6349","CHRNA4",1137,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6351","DOCK8",81704,"Developmental Disabilities","C0008073",0.31,"Biomarker"
"6352","MSL3",10943,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6354","PMP22",5376,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6355","STAMBP",10617,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6358","SLC4A4",8671,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6359","TBCD",6904,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6360","ARFGAP1",55738,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6361","CAMKMT",79823,"Developmental Disabilities","C0008073",0.3,"Biomarker"
"6362","SHANK3",85358,"Developmental Disabilities","C0008073",0.32,"Biomarker"
"6364","DRD4",1815,"Child Development Disorders, Pervasive","C0008074",0.3,"Biomarker"
"6365","MRTFB",57496,"Child Development Disorders, Pervasive","C0008074",0.3,"Biomarker"
"6366","MECP2",4204,"Child Development Disorders, Pervasive","C0008074",0.3,"Biomarker"
"6367","SLC6A3",6531,"Chronic Motor or Vocal Tic Disorder","C0008701",0.3,"Biomarker"
"6368","DRD4",1815,"Chronic Motor or Vocal Tic Disorder","C0008701",0.3,"Biomarker"
"6369","PRL",5617,"Claustrophobia","C0008909",0.3,"Biomarker"
"6370","CAT",847,"Claustrophobia","C0008909",0.3,"Biomarker"
"6371","BDNF",627,"Cocaine Abuse","C0009171",0.31,"Therapeutic"
"6372","ARC",23237,"Cocaine Abuse","C0009171",0.3,"Biomarker"
"6373","HTR1B",3351,"Cocaine Abuse","C0009171",0.5,"Biomarker"
"6374","FOSB",2354,"Cocaine Abuse","C0009171",0.31,"Therapeutic"
"6375","HCRTR1",3061,"Cocaine Abuse","C0009171",0.3,"Biomarker"
"6376","DRD3",1814,"Cocaine Abuse","C0009171",0.5,"Therapeutic"
"6377","GRIA1",2890,"Cocaine Abuse","C0009171",0.3,"Biomarker"
"6378","RHOA",387,"Cocaine Abuse","C0009171",0.3,"Biomarker"
"6379","BCHE",590,"Cocaine Abuse","C0009171",0.34,"Therapeutic"
"6380","HOMER2",9455,"Cocaine Abuse","C0009171",0.3,"Biomarker"
"6381","MECP2",4204,"Cocaine Abuse","C0009171",0.3,"Biomarker"
"6382","NPY2R",4887,"Cocaine Abuse","C0009171",0.3,"Biomarker"
"6383","CHRM5",1133,"Cocaine Abuse","C0009171",0.3,"Biomarker"
"6384","HTR2A",3356,"Cocaine Abuse","C0009171",0.3,"Biomarker"
"6386","SLC6A3",6531,"Cocaine Abuse","C0009171",0.52,"Biomarker"
"6388","DRD1",1812,"Cocaine Abuse","C0009171",0.3,"Biomarker"
"6389","NR3C1",2908,"Cocaine Abuse","C0009171",0.3,"Biomarker"
"6390","RECK",8434,"Cocaine Abuse","C0009171",0.31,"Biomarker"
"6391","DRD3",1814,"Cocaine Abuse","C0009171",0.5,"Biomarker"
"6394","OPRM1",4988,"Cocaine Abuse","C0009171",0.3,"Biomarker"
"6395","NPS",594857,"Cocaine Abuse","C0009171",0.3,"Biomarker"
"6396","GRIA1",2890,"Cocaine Abuse","C0009171",0.3,"Therapeutic"
"6398","CRH",1392,"Cocaine Abuse","C0009171",0.3,"Biomarker"
"6399","DRD2",1813,"Cocaine Abuse","C0009171",0.54,"Biomarker"
"6400","HDAC4",9759,"Cocaine Abuse","C0009171",0.3,"Therapeutic"
"6401","NTRK2",4915,"Cocaine Abuse","C0009171",0.3,"Biomarker"
"6402","MIR130A",406919,"Cocaine Abuse","C0009171",0.3,"Biomarker"
"6404","FOSB",2354,"Cocaine Abuse","C0009171",0.31,"Biomarker"
"6405","MANEA",79694,"Cocaine Abuse","C0009171",0.3,"Biomarker"
"6406","FOS",2353,"Cocaine Abuse","C0009171",0.3,"Biomarker"
